Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Avg_Photo_Total,Day0PE
7,3,11H,8,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.2145,0.763
7,3,11I,9,11,StaticFlux,Low Light,25,Medium Herbicide,1,NA,0.797
7,4,11L,12,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.7195,0.7765
7,4,11J,10,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.57425,0.7705
7,4,11K,11,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.59825,0.80025
2,1,13A,1,13,StaticFlux,Medium Light,75,High Herbicide,2,0.4695,0.768
2,1,13B,2,13,StaticFlux,Medium Light,75,High Herbicide,2,0.724,0.7925
2,1,13C,3,13,StaticFlux,Medium Light,75,High Herbicide,2,0.4905,0.743
2,2,13D,4,13,StaticFlux,Medium Light,75,High Herbicide,2,0.67875,0.757
2,2,13E,5,13,StaticFlux,Medium Light,75,High Herbicide,2,0.70375,0.774
2,2,13F,6,13,StaticFlux,Medium Light,75,High Herbicide,2,0.7075,0.7595
2,3,13G,7,13,StaticFlux,Medium Light,75,High Herbicide,2,0.73375,0.7665
2,3,13H,8,13,StaticFlux,Medium Light,75,High Herbicide,2,0.7015,0.7865
2,3,13I,9,13,StaticFlux,Medium Light,75,High Herbicide,2,0.43275,0.822
2,4,13J,10,13,StaticFlux,Medium Light,75,High Herbicide,2,0.71225,0.806
2,4,13K,11,13,StaticFlux,Medium Light,75,High Herbicide,2,0.69875,0.79675
2,4,13L,12,13,StaticFlux,Medium Light,75,High Herbicide,2,0.6665,0.78675
4,1,13A,1,13,StaticFlux,Medium Light,75,High Herbicide,2,0.17425,0.768
