Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Combined,Biomass_initial,Biomass_final,Proportion_biomass_change,Light_conc1,Light_conc2,Diuron_conc1,Diuron_conc2,Light_maxlow,Diuron_maxhigh
2,4E,5,4,StaticStatic,low,25,low,0,LLLD,0.1379,0.1012,-0.26613488,25,25,0,0,25,0
3,4G,7,4,StaticStatic,low,25,low,0,LLLD,0.2597,0.1218,-0.530997305,25,25,0,0,25,0
3,4H,8,4,StaticStatic,low,25,low,0,LLLD,0.2203,0.1923,-0.12709941,25,25,0,0,25,0
3,4I,9,4,StaticStatic,low,25,low,0,LLLD,0.1724,0.1115,-0.35324826,25,25,0,0,25,0
4,4L,12,4,StaticStatic,low,25,low,0,LLLD,0.2633,0.2659,0.009874668,25,25,0,0,25,0
4,4J,10,4,StaticStatic,low,25,low,0,LLLD,0.362,0.1732,-0.521546961,25,25,0,0,25,0
4,4K,11,4,StaticStatic,low,25,low,0,LLLD,0.506,0.4367,-0.136956522,25,25,0,0,25,0
1,5A,1,5,StaticStatic,medium,75,medium,1,MLMD,0.501,0.1338,-0.732934132,75,75,1,1,75,1
1,5B,2,5,StaticStatic,medium,75,medium,1,MLMD,0.788,0.444,-0.436548223,75,75,1,1,75,1
1,5C,3,5,StaticStatic,medium,75,medium,1,MLMD,0.1763,0.0645,-0.634146341,75,75,1,1,75,1
2,5F,6,5,StaticStatic,medium,75,medium,1,MLMD,0.4252,0.3907,-0.081138288,75,75,1,1,75,1
2,5D,4,5,StaticStatic,medium,75,medium,1,MLMD,0.0855,0.0759,-0.112280702,75,75,1,1,75,1
2,5E,5,5,StaticStatic,medium,75,medium,1,MLMD,0.1398,0.1377,-0.015021459,75,75,1,1,75,1
3,5G,7,5,StaticStatic,medium,75,medium,1,MLMD,0.1612,0.0963,-0.402605459,75,75,1,1,75,1
3,5H,8,5,StaticStatic,medium,75,medium,1,MLMD,0.2867,0.1893,-0.339727939,75,75,1,1,75,1
3,5I,9,5,StaticStatic,medium,75,medium,1,MLMD,0.1546,0.1104,-0.285899094,75,75,1,1,75,1
4,5L,12,5,StaticStatic,medium,75,medium,1,MLMD,0.6792,0.7684,0.131330978,75,75,1,1,75,1
4,5J,10,5,StaticStatic,medium,75,medium,1,MLMD,0.2131,0.1914,-0.101830127,75,75,1,1,75,1
4,5K,11,5,StaticStatic,medium,75,medium,1,MLMD,0.3432,0.394,0.148018648,75,75,1,1,75,1
1,6A,1,6,StaticStatic,low,25,medium,1,LLMD,0.4411,0,-1,25,25,1,1,25,1
1,6B,2,6,StaticStatic,low,25,medium,1,LLMD,0.504,0,-1,25,25,1,1,25,1
1,6C,3,6,StaticStatic,low,25,medium,1,LLMD,0.1886,0.1278,-0.322375398,25,25,1,1,25,1
2,6F,6,6,StaticStatic,low,25,medium,1,LLMD,0.1297,0.1571,0.211256746,25,25,1,1,25,1
2,6D,4,6,StaticStatic,low,25,medium,1,LLMD,0.2001,0.203,0.014492754,25,25,1,1,25,1
2,6E,5,6,StaticStatic,low,25,medium,1,LLMD,0.2842,0.3733,0.313511612,25,25,1,1,25,1
3,6G,7,6,StaticStatic,low,25,medium,1,LLMD,0.2467,0,-1,25,25,1,1,25,1
3,6H,8,6,StaticStatic,low,25,medium,1,LLMD,0.37,0.164,-0.556756757,25,25,1,1,25,1
3,6I,9,6,StaticStatic,low,25,medium,1,LLMD,0.1323,0.0745,-0.436885865,25,25,1,1,25,1
4,6L,12,6,StaticStatic,low,25,medium,1,LLMD,0.4647,0.4105,-0.116634388,25,25,1,1,25,1
4,6J,10,6,StaticStatic,low,25,medium,1,LLMD,0.3472,0.1619,-0.533698157,25,25,1,1,25,1
4,6K,11,6,StaticStatic,low,25,medium,1,LLMD,0.7463,0.4553,-0.389923623,25,25,1,1,25,1
1,7A,1,7,StaticStatic,medium,75,high,2,MLHD,0.7724,0.4226,-0.452874158,75,75,2,2,75,2
1,7B,2,7,StaticStatic,medium,75,high,2,MLHD,0.8531,0.6535,-0.233970226,75,75,2,2,75,2
1,7C,3,7,StaticStatic,medium,75,high,2,MLHD,0.1756,0.1296,-0.261958998,75,75,2,2,75,2
2,7F,6,7,StaticStatic,medium,75,high,2,MLHD,0.2272,0.2568,0.13028169,75,75,2,2,75,2
2,7D,4,7,StaticStatic,medium,75,high,2,MLHD,0.1856,0.1626,-0.123922414,75,75,2,2,75,2
2,7E,5,7,StaticStatic,medium,75,high,2,MLHD,0.1603,0.1046,-0.347473487,75,75,2,2,75,2
3,7G,7,7,StaticStatic,medium,75,high,2,MLHD,0.2819,0.2643,-0.062433487,75,75,2,2,75,2
3,7H,8,7,StaticStatic,medium,75,high,2,MLHD,0.1477,0.12,-0.187542316,75,75,2,2,75,2
3,7I,9,7,StaticStatic,medium,75,high,2,MLHD,0.1549,0.1141,-0.263395739,75,75,2,2,75,2
4,7L,12,7,StaticStatic,medium,75,high,2,MLHD,0.3861,0.3596,-0.068635069,75,75,2,2,75,2
4,7J,10,7,StaticStatic,medium,75,high,2,MLHD,0.3661,0.4311,0.177547118,75,75,2,2,75,2
4,7K,11,7,StaticStatic,medium,75,high,2,MLHD,0.621,0.6009,-0.03236715,75,75,2,2,75,2
1,8A,1,8,StaticStatic,low,25,high,2,LLHD,0.4608,0.321,-0.303385417,25,25,2,2,25,2
1,8B,2,8,StaticStatic,low,25,high,2,LLHD,0.3483,0.3504,0.006029285,25,25,2,2,25,2
1,8C,3,8,StaticStatic,low,25,high,2,LLHD,0.3524,0.3108,-0.118047673,25,25,2,2,25,2
2,8F,6,8,StaticStatic,low,25,high,2,LLHD,0.2142,0.2191,0.022875817,25,25,2,2,25,2
2,8D,4,8,StaticStatic,low,25,high,2,LLHD,0.1197,0.0904,-0.244778613,25,25,2,2,25,2
2,8E,5,8,StaticStatic,low,25,high,2,LLHD,0.091,0.0758,-0.167032967,25,25,2,2,25,2
3,8G,7,8,StaticStatic,low,25,high,2,LLHD,0.294,0.2617,-0.109863946,25,25,2,2,25,2
3,8H,8,8,StaticStatic,low,25,high,2,LLHD,0.2188,0.2197,0.004113346,25,25,2,2,25,2
3,8I,9,8,StaticStatic,low,25,high,2,LLHD,0.2319,0.1867,-0.1949116,25,25,2,2,25,2
4,8L,12,8,StaticStatic,low,25,high,2,LLHD,0.1556,0.1765,0.134318766,25,25,2,2,25,2
4,8J,10,8,StaticStatic,low,25,high,2,LLHD,0.3065,0.2922,-0.046655791,25,25,2,2,25,2
4,8K,11,8,StaticStatic,low,25,high,2,LLHD,0.1853,0.1307,-0.294657312,25,25,2,2,25,2
1,9A,1,9,StaticFlux,high,100,medium,1,HLMD,0.5113,0.6177,0.208097008,100,100,2,0,100,2
1,9B,2,9,StaticFlux,high,100,medium,1,HLMD,0.6085,0.2527,-0.584716516,100,100,2,0,100,2
1,9C,3,9,StaticFlux,high,100,medium,1,HLMD,0.2949,0.1822,-0.382163445,100,100,2,0,100,2
2,9F,6,9,StaticFlux,high,100,medium,1,HLMD,0.1524,0.0944,-0.380577428,100,100,2,0,100,2
2,9D,4,9,StaticFlux,high,100,medium,1,HLMD,0.1355,0.0854,-0.369741697,100,100,2,0,100,2
2,9E,5,9,StaticFlux,high,100,medium,1,HLMD,0.1877,0.1218,-0.351092168,100,100,2,0,100,2
3,9G,7,9,StaticFlux,high,100,medium,1,HLMD,0.1963,0.1359,-0.307692308,100,100,2,0,100,2
3,9H,8,9,StaticFlux,high,100,medium,1,HLMD,0.1122,0.0313,-0.721033868,100,100,2,0,100,2
3,9I,9,9,StaticFlux,high,100,medium,1,HLMD,0.2193,0.0858,-0.60875513,100,100,2,0,100,2
4,9L,12,9,StaticFlux,high,100,medium,1,HLMD,0.2738,0.3891,0.421110299,100,100,2,0,100,2
4,9J,10,9,StaticFlux,high,100,medium,1,HLMD,0.5262,0.4337,-0.175788674,100,100,2,0,100,2
4,9K,11,9,StaticFlux,high,100,medium,1,HLMD,0.2382,0.2797,0.174223342,100,100,2,0,100,2
1,10A,1,10,StaticFlux,medium,75,medium,1,MLMD,0.3295,0.2869,-0.129286798,75,75,2,0,75,2
1,10B,2,10,StaticFlux,medium,75,medium,1,MLMD,0.6859,0.2808,-0.590610876,75,75,2,0,75,2
1,10C,3,10,StaticFlux,medium,75,medium,1,MLMD,0.1155,0.0825,-0.285714286,75,75,2,0,75,2
2,10F,6,10,StaticFlux,medium,75,medium,1,MLMD,0.1884,0.217,0.151804671,75,75,2,0,75,2
2,10D,4,10,StaticFlux,medium,75,medium,1,MLMD,0.0979,0.0738,-0.246169561,75,75,2,0,75,2
2,10E,5,10,StaticFlux,medium,75,medium,1,MLMD,0.1019,0.0481,-0.527968597,75,75,2,0,75,2
3,10G,7,10,StaticFlux,medium,75,medium,1,MLMD,0.2024,0.2338,0.15513834,75,75,2,0,75,2
3,10H,8,10,StaticFlux,medium,75,medium,1,MLMD,0.2348,0.4145,0.765332198,75,75,2,0,75,2
3,10I,9,10,StaticFlux,medium,75,medium,1,MLMD,0.1408,0.0808,-0.426136364,75,75,2,0,75,2
4,10L,12,10,StaticFlux,medium,75,medium,1,MLMD,0.3749,0.3906,0.041877834,75,75,2,0,75,2
4,10J,10,10,StaticFlux,medium,75,medium,1,MLMD,0.966,0.932,-0.035196687,75,75,2,0,75,2
4,10K,11,10,StaticFlux,medium,75,medium,1,MLMD,0.3566,0.3564,-0.000560852,75,75,2,0,75,2
1,11A,1,11,StaticFlux,low,25,medium,1,LLMD,0.587,0.4226,-0.280068143,25,25,2,0,25,2
1,11B,2,11,StaticFlux,low,25,medium,1,LLMD,0.286,0.1709,-0.402447552,25,25,2,0,25,2
1,11C,3,11,StaticFlux,low,25,medium,1,LLMD,0.3045,0.2555,-0.16091954,25,25,2,0,25,2
2,11F,6,11,StaticFlux,low,25,medium,1,LLMD,0.3638,0.4363,0.199285322,25,25,2,0,25,2
2,11D,4,11,StaticFlux,low,25,medium,1,LLMD,0.2055,0.1652,-0.196107056,25,25,2,0,25,2
2,11E,5,11,StaticFlux,low,25,medium,1,LLMD,0.3415,0.1918,-0.438360176,25,25,2,0,25,2
3,11G,7,11,StaticFlux,low,25,medium,1,LLMD,0.1889,0.0792,-0.580730545,25,25,2,0,25,2
3,11H,8,11,StaticFlux,low,25,medium,1,LLMD,0.1389,0.0851,-0.387329014,25,25,2,0,25,2
3,11I,9,11,StaticFlux,low,25,medium,1,LLMD,0.2793,0,-1,25,25,2,0,25,2
4,11L,12,11,StaticFlux,low,25,medium,1,LLMD,0.5162,0.476,-0.077876792,25,25,2,0,25,2
4,11J,10,11,StaticFlux,low,25,medium,1,LLMD,0.416,0.4406,0.059134615,25,25,2,0,25,2
4,11K,11,11,StaticFlux,low,25,medium,1,LLMD,0.2079,0.1624,-0.218855219,25,25,2,0,25,2
1,12A,1,12,StaticFlux,high,100,high,2,HLHD,0.6031,0,-1,100,100,3,1,100,3
1,12B,2,12,StaticFlux,high,100,high,2,HLHD,0.3421,0,-1,100,100,3,1,100,3
1,12C,3,12,StaticFlux,high,100,high,2,HLHD,0.171,0.0334,-0.804678363,100,100,3,1,100,3
2,12F,6,12,StaticFlux,high,100,high,2,HLHD,0.2757,0.3061,0.110264781,100,100,3,1,100,3
2,12D,4,12,StaticFlux,high,100,high,2,HLHD,0.1823,0.0631,-0.653867252,100,100,3,1,100,3
2,12E,5,12,StaticFlux,high,100,high,2,HLHD,0.203,0.171,-0.157635468,100,100,3,1,100,3
3,12G,7,12,StaticFlux,high,100,high,2,HLHD,0.3143,0.5128,0.631562202,100,100,3,1,100,3
3,12H,8,12,StaticFlux,high,100,high,2,HLHD,0.256,0.4348,0.6984375,100,100,3,1,100,3
3,12I,9,12,StaticFlux,high,100,high,2,HLHD,0.2208,0.2875,0.302083333,100,100,3,1,100,3
4,12L,12,12,StaticFlux,high,100,high,2,HLHD,0.6423,0.3745,-0.416939125,100,100,3,1,100,3
4,12J,10,12,StaticFlux,high,100,high,2,HLHD,0.2827,0.3466,0.226034666,100,100,3,1,100,3
4,12K,11,12,StaticFlux,high,100,high,2,HLHD,1.0534,1.0373,-0.015283843,100,100,3,1,100,3
1,13A,1,13,StaticFlux,medium,75,high,2,MLHD,0.4259,0.1534,-0.639821554,75,75,3,1,75,3
1,13B,2,13,StaticFlux,medium,75,high,2,MLHD,0.5448,0.6595,0.210535977,75,75,3,1,75,3
1,13C,3,13,StaticFlux,medium,75,high,2,MLHD,0.0917,0.0775,-0.154852781,75,75,3,1,75,3
2,13F,6,13,StaticFlux,medium,75,high,2,MLHD,0.135,0.1573,0.165185185,75,75,3,1,75,3
2,13D,4,13,StaticFlux,medium,75,high,2,MLHD,0.3214,0.1297,-0.596453018,75,75,3,1,75,3
2,13E,5,13,StaticFlux,medium,75,high,2,MLHD,0.2652,0.2316,-0.126696833,75,75,3,1,75,3
3,13G,7,13,StaticFlux,medium,75,high,2,MLHD,0.2216,0.2609,0.17734657,75,75,3,1,75,3
3,13H,8,13,StaticFlux,medium,75,high,2,MLHD,0.2036,0.2444,0.200392927,75,75,3,1,75,3
3,13I,9,13,StaticFlux,medium,75,high,2,MLHD,0.1282,0.059,-0.539781591,75,75,3,1,75,3
4,13L,12,13,StaticFlux,medium,75,high,2,MLHD,0.1335,0.1311,-0.017977528,75,75,3,1,75,3
4,13J,10,13,StaticFlux,medium,75,high,2,MLHD,0.225,0.2475,0.1,75,75,3,1,75,3
4,13K,11,13,StaticFlux,medium,75,high,2,MLHD,0.1501,0.1521,0.01332445,75,75,3,1,75,3
