Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Combined,Biomass_initial,Biomass_final,Proportion_biomass_change,Light_conc1,Light_conc2,Diuron_conc1,Diuron_conc2,Light_maxlow,Diuron_maxhigh
3,19H,8,19,FluxStatic,medium,75,high,2,MLHD,0.1426,0.1613,0.131136045,50,100,2,2,50,2
3,19I,9,19,FluxStatic,medium,75,high,2,MLHD,0.1415,0.081,-0.427561837,50,100,2,2,50,2
4,19L,12,19,FluxStatic,medium,75,high,2,MLHD,0.1887,0.2932,0.553789083,50,100,2,2,50,2
4,19J,10,19,FluxStatic,medium,75,high,2,MLHD,0.6013,0.648,0.077665059,50,100,2,2,50,2
4,19K,11,19,FluxStatic,medium,75,high,2,MLHD,0.5141,0.3904,-0.240614666,50,100,2,2,50,2
1,20A,1,20,FluxStatic,low,25,high,2,LLHD,0.8427,0.6191,-0.265337605,0,50,2,2,0,2
1,20B,2,20,FluxStatic,low,25,high,2,LLHD,0.3591,0.1196,-0.666945141,0,50,2,2,0,2
1,20C,3,20,FluxStatic,low,25,high,2,LLHD,0.4071,0.3185,-0.217636944,0,50,2,2,0,2
2,20F,6,20,FluxStatic,low,25,high,2,LLHD,0.2445,0.197,-0.194274029,0,50,2,2,0,2
2,20D,4,20,FluxStatic,low,25,high,2,LLHD,0.3107,0.2983,-0.039909881,0,50,2,2,0,2
2,20E,5,20,FluxStatic,low,25,high,2,LLHD,0.3392,0.2672,-0.212264151,0,50,2,2,0,2
3,20G,7,20,FluxStatic,low,25,high,2,LLHD,0.1361,0.1371,0.007347539,0,50,2,2,0,2
3,20H,8,20,FluxStatic,low,25,high,2,LLHD,0.2043,0.2163,0.058737151,0,50,2,2,0,2
3,20I,9,20,FluxStatic,low,25,high,2,LLHD,0.1039,0.0176,-0.830606352,0,50,2,2,0,2
4,20L,12,20,FluxStatic,low,25,high,2,LLHD,0.2496,0.2562,0.026442308,0,50,2,2,0,2
4,20J,10,20,FluxStatic,low,25,high,2,LLHD,0.3592,0.3169,-0.117761693,0,50,2,2,0,2
4,20K,11,20,FluxStatic,low,25,high,2,LLHD,0.2227,0.1945,-0.12662775,0,50,2,2,0,2
1,21A,1,21,InPhase,medium,75,medium,1,MLMD,0.329,0.4217,0.281762918,50,100,2,0,50,2
1,21B,2,21,InPhase,medium,75,medium,1,MLMD,0.293,0.8168,1.787713311,50,100,2,0,50,2
1,21C,3,21,InPhase,medium,75,medium,1,MLMD,0.1891,0.0746,-0.605499736,50,100,2,0,50,2
2,21F,6,21,InPhase,medium,75,medium,1,MLMD,0.1277,0.1085,-0.150352388,50,100,2,0,50,2
2,21D,4,21,InPhase,medium,75,medium,1,MLMD,0.2595,0.1969,-0.241233141,50,100,2,0,50,2
2,21E,5,21,InPhase,medium,75,medium,1,MLMD,0.2249,0.2078,-0.076033793,50,100,2,0,50,2
3,21G,7,21,InPhase,medium,75,medium,1,MLMD,0.1939,0.167,-0.138731305,50,100,2,0,50,2
3,21H,8,21,InPhase,medium,75,medium,1,MLMD,0.1874,0.134,-0.284951974,50,100,2,0,50,2
3,21I,9,21,InPhase,medium,75,medium,1,MLMD,0.1248,0.0397,-0.681891026,50,100,2,0,50,2
4,21L,12,21,InPhase,medium,75,medium,1,MLMD,0.3571,0.2305,-0.354522543,50,100,2,0,50,2
4,21J,10,21,InPhase,medium,75,medium,1,MLMD,0.2733,0,-1,50,100,2,0,50,2
4,21K,11,21,InPhase,medium,75,medium,1,MLMD,0.1829,0.2235,0.221979224,50,100,2,0,50,2
1,22A,1,22,InPhase,low,25,medium,1,LLMD,0.497,0.4462,-0.10221328,0,50,2,0,0,2
1,22B,2,22,InPhase,low,25,medium,1,LLMD,0.3256,0.2922,-0.102579853,0,50,2,0,0,2
1,22C,3,22,InPhase,low,25,medium,1,LLMD,0.2626,0.2187,-0.16717441,0,50,2,0,0,2
2,22F,6,22,InPhase,low,25,medium,1,LLMD,0.2109,0.1542,-0.268847795,0,50,2,0,0,2
2,22D,4,22,InPhase,low,25,medium,1,LLMD,0.2066,0.1318,-0.362052275,0,50,2,0,0,2
2,22E,5,22,InPhase,low,25,medium,1,LLMD,0.0824,0.0657,-0.202669903,0,50,2,0,0,2
3,22G,7,22,InPhase,low,25,medium,1,LLMD,0.1462,0.0699,-0.521887825,0,50,2,0,0,2
3,22H,8,22,InPhase,low,25,medium,1,LLMD,0.327,0.1093,-0.665749235,0,50,2,0,0,2
3,22I,9,22,InPhase,low,25,medium,1,LLMD,0.0775,0,-1,0,50,2,0,0,2
4,22L,12,22,InPhase,low,25,medium,1,LLMD,0.168,0.1385,-0.175595238,0,50,2,0,0,2
4,22J,10,22,InPhase,low,25,medium,1,LLMD,0.3783,0.2321,-0.386465768,0,50,2,0,0,2
4,22K,11,22,InPhase,low,25,medium,1,LLMD,0.1674,0.2086,0.246117085,0,50,2,0,0,2
1,23A,1,23,InPhase,medium,75,high,2,MLHD,0.5008,0.2216,-0.557507987,50,100,3,1,50,3
1,23B,2,23,InPhase,medium,75,high,2,MLHD,0.5097,0.4781,-0.061997253,50,100,3,1,50,3
1,23C,3,23,InPhase,medium,75,high,2,MLHD,0.2382,0.1816,-0.237615449,50,100,3,1,50,3
2,23F,6,23,InPhase,medium,75,high,2,MLHD,0.1944,0.1503,-0.226851852,50,100,3,1,50,3
2,23D,4,23,InPhase,medium,75,high,2,MLHD,0.1512,0.1298,-0.141534392,50,100,3,1,50,3
2,23E,5,23,InPhase,medium,75,high,2,MLHD,0.3399,0.2321,-0.317152104,50,100,3,1,50,3
3,23G,7,23,InPhase,medium,75,high,2,MLHD,0.1857,0.2042,0.099623048,50,100,3,1,50,3
3,23H,8,23,InPhase,medium,75,high,2,MLHD,0.2699,0.3226,0.195257503,50,100,3,1,50,3
3,23I,9,23,InPhase,medium,75,high,2,MLHD,0.1308,0.1366,0.044342508,50,100,3,1,50,3
4,23L,12,23,InPhase,medium,75,high,2,MLHD,0.1926,0.1943,0.008826584,50,100,3,1,50,3
4,23J,10,23,InPhase,medium,75,high,2,MLHD,0.6162,0.4487,-0.271827329,50,100,3,1,50,3
4,23K,11,23,InPhase,medium,75,high,2,MLHD,0.6128,0.5596,-0.086814621,50,100,3,1,50,3
1,24A,1,24,InPhase,low,25,high,2,LLHD,0.8255,0.3774,-0.542822532,0,50,3,1,0,3
1,24B,2,24,InPhase,low,25,high,2,LLHD,0.7869,0.4329,-0.449866565,0,50,3,1,0,3
1,24C,3,24,InPhase,low,25,high,2,LLHD,0.1593,0.1271,-0.202134338,0,50,3,1,0,3
2,24F,6,24,InPhase,low,25,high,2,LLHD,0.3036,0.2037,-0.329051383,0,50,3,1,0,3
2,24D,4,24,InPhase,low,25,high,2,LLHD,0.2721,0.1564,-0.425211319,0,50,3,1,0,3
2,24E,5,24,InPhase,low,25,high,2,LLHD,0.1778,0.1293,-0.272778403,0,50,3,1,0,3
3,24G,7,24,InPhase,low,25,high,2,LLHD,0.2863,0.1478,-0.483758295,0,50,3,1,0,3
3,24H,8,24,InPhase,low,25,high,2,LLHD,0.1326,0.1151,-0.131975867,0,50,3,1,0,3
3,24I,9,24,InPhase,low,25,high,2,LLHD,0.1344,0.1197,-0.109375,0,50,3,1,0,3
4,24L,12,24,InPhase,low,25,high,2,LLHD,0.6569,0.5045,-0.231998782,0,50,3,1,0,3
4,24J,10,24,InPhase,low,25,high,2,LLHD,0.406,0.3064,-0.245320197,0,50,3,1,0,3
4,24K,11,24,InPhase,low,25,high,2,LLHD,0.2674,0.2252,-0.157816006,0,50,3,1,0,3
1,25A,1,25,OutPhase,medium,75,medium,1,MLMD,0.4875,0.3013,-0.381948718,100,50,2,0,50,2
1,25B,2,25,OutPhase,medium,75,medium,1,MLMD,0.5786,0.4771,-0.175423436,100,50,2,0,50,2
1,25C,3,25,OutPhase,medium,75,medium,1,MLMD,0.4337,0.3329,-0.232418723,100,50,2,0,50,2
2,25F,6,25,OutPhase,medium,75,medium,1,MLMD,0.2039,0.1957,-0.040215792,100,50,2,0,50,2
2,25D,4,25,OutPhase,medium,75,medium,1,MLMD,0.1599,0.133,-0.168230144,100,50,2,0,50,2
2,25E,5,25,OutPhase,medium,75,medium,1,MLMD,0.1401,0.0798,-0.430406852,100,50,2,0,50,2
3,25G,7,25,OutPhase,medium,75,medium,1,MLMD,0.3443,0.4197,0.218995062,100,50,2,0,50,2
3,25H,8,25,OutPhase,medium,75,medium,1,MLMD,0.2068,0.1402,-0.32205029,100,50,2,0,50,2
3,25I,9,25,OutPhase,medium,75,medium,1,MLMD,0.2019,0.1179,-0.416047548,100,50,2,0,50,2
4,25L,12,25,OutPhase,medium,75,medium,1,MLMD,0.6889,0.583,-0.153723327,100,50,2,0,50,2
4,25J,10,25,OutPhase,medium,75,medium,1,MLMD,0.2631,0.1935,-0.264538198,100,50,2,0,50,2
4,25K,11,25,OutPhase,medium,75,medium,1,MLMD,0.4524,0.2921,-0.354332449,100,50,2,0,50,2
1,26A,1,26,OutPhase,low,25,medium,1,LLMD,0.5582,0.1372,-0.754209961,50,0,2,0,0,2
1,26B,2,26,OutPhase,low,25,medium,1,LLMD,0.2589,0.1842,-0.288528389,50,0,2,0,0,2
1,26C,3,26,OutPhase,low,25,medium,1,LLMD,0.2533,0,-1,50,0,2,0,0,2
2,26F,6,26,OutPhase,low,25,medium,1,LLMD,0.128,0.0958,-0.2515625,50,0,2,0,0,2
2,26D,4,26,OutPhase,low,25,medium,1,LLMD,0.1716,0.0878,-0.488344988,50,0,2,0,0,2
2,26E,5,26,OutPhase,low,25,medium,1,LLMD,0.1399,0.1628,0.163688349,50,0,2,0,0,2
3,26G,7,26,OutPhase,low,25,medium,1,LLMD,0.1647,0.0598,-0.636915604,50,0,2,0,0,2
3,26H,8,26,OutPhase,low,25,medium,1,LLMD,0.3329,0.2602,-0.218383899,50,0,2,0,0,2
3,26I,9,26,OutPhase,low,25,medium,1,LLMD,0.158,0,-1,50,0,2,0,0,2
4,26L,12,26,OutPhase,low,25,medium,1,LLMD,0.3399,0.3069,-0.097087379,50,0,2,0,0,2
4,26J,10,26,OutPhase,low,25,medium,1,LLMD,0.1604,0.16,-0.002493766,50,0,2,0,0,2
4,26K,11,26,OutPhase,low,25,medium,1,LLMD,0.3612,0.4044,0.119601329,50,0,2,0,0,2
1,27A,1,27,OutPhase,medium,75,high,2,MLHD,0.2802,0.3248,0.15917202,100,50,3,1,50,3
1,27B,2,27,OutPhase,medium,75,high,2,MLHD,1.12,0.9495,-0.152232143,100,50,3,1,50,3
1,27C,3,27,OutPhase,medium,75,high,2,MLHD,0.2792,0.111,-0.60243553,100,50,3,1,50,3
2,27F,6,27,OutPhase,medium,75,high,2,MLHD,0.2163,0.1639,-0.242256126,100,50,3,1,50,3
2,27D,4,27,OutPhase,medium,75,high,2,MLHD,0.3902,0.354,-0.092772937,100,50,3,1,50,3
2,27E,5,27,OutPhase,medium,75,high,2,MLHD,0.117,0.1285,0.098290598,100,50,3,1,50,3
3,27G,7,27,OutPhase,medium,75,high,2,MLHD,0.1376,0.1359,-0.012354651,100,50,3,1,50,3
3,27H,8,27,OutPhase,medium,75,high,2,MLHD,0.1384,0.1834,0.325144509,100,50,3,1,50,3
3,27I,9,27,OutPhase,medium,75,high,2,MLHD,0.18,0.2097,0.165,100,50,3,1,50,3
4,27L,12,27,OutPhase,medium,75,high,2,MLHD,0.3669,0.351,-0.043336059,100,50,3,1,50,3
4,27J,10,27,OutPhase,medium,75,high,2,MLHD,0.1867,0.1722,-0.077664703,100,50,3,1,50,3
4,27K,11,27,OutPhase,medium,75,high,2,MLHD,0.5176,0.5146,-0.005795981,100,50,3,1,50,3
1,28A,1,28,OutPhase,low,25,high,2,LLHD,0.4297,0.2505,-0.417035141,50,0,3,1,0,3
1,28B,2,28,OutPhase,low,25,high,2,LLHD,0.4509,0.2829,-0.372588157,50,0,3,1,0,3
1,28C,3,28,OutPhase,low,25,high,2,LLHD,0.2077,0.1343,-0.353394319,50,0,3,1,0,3
2,28F,6,28,OutPhase,low,25,high,2,LLHD,0.1594,0.1383,-0.132371393,50,0,3,1,0,3
2,28D,4,28,OutPhase,low,25,high,2,LLHD,0.1486,0.1111,-0.252355316,50,0,3,1,0,3
2,28E,5,28,OutPhase,low,25,high,2,LLHD,0.2152,0.1307,-0.392657993,50,0,3,1,0,3
3,28G,7,28,OutPhase,low,25,high,2,LLHD,0.2062,0,-1,50,0,3,1,0,3
3,28H,8,28,OutPhase,low,25,high,2,LLHD,0.1244,0.0196,-0.84244373,50,0,3,1,0,3
3,28I,9,28,OutPhase,low,25,high,2,LLHD,0.221,0.2433,0.100904977,50,0,3,1,0,3
4,28L,12,28,OutPhase,low,25,high,2,LLHD,0.4416,0.1861,-0.578577899,50,0,3,1,0,3
4,28J,10,28,OutPhase,low,25,high,2,LLHD,0.5069,0.3134,-0.381732097,50,0,3,1,0,3
4,28K,11,28,OutPhase,low,25,high,2,LLHD,0.6312,0,-1,50,0,3,1,0,3
